,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
131,"[0.002328, 0.018327, 0.026119000000000003, 0.00026700000000000004]","[0.026119000000000003, 0.018327, 0.002328, 0.00026700000000000004]","[0.00026700000000000004, 0.002328, 0.018327, 0.026119000000000003]",154.72690700912887,154.72690700912887,154.72690700912887,154.72690700912887,0.0,0.026119000000000003,0.00026700000000000004,0.025852000000000003
132,"[0.018327, 0.026119000000000003, 0.00026700000000000004, 0.003748]","[0.026119000000000003, 0.018327, 0.003748, 0.00026700000000000004]","[0.00026700000000000004, 0.003748, 0.018327, 0.026119000000000003]",154.72690700912887,154.72690700912887,154.72690700912887,154.72690700912887,0.0,0.026119000000000003,0.00026700000000000004,0.025852000000000003
133,"[0.026119000000000003, 0.00026700000000000004, 0.003748, 0.0014620000000000002]","[0.026119000000000003, 0.003748, 0.0014620000000000002, 0.00026700000000000004]","[0.00026700000000000004, 0.0014620000000000002, 0.003748, 0.026119000000000003]",154.72690700912887,154.72690700912887,154.72690700912887,154.72690700912887,0.0,0.026119000000000003,0.00026700000000000004,0.025852000000000003
134,"[0.00026700000000000004, 0.003748, 0.0014620000000000002, -0.0013050000000000002]","[0.003748, 0.0014620000000000002, 0.00026700000000000004, -0.0013050000000000002]","[-0.0013050000000000002, 0.00026700000000000004, 0.0014620000000000002, 0.003748]",791.6089451810806,791.6089451810806,791.6089451810806,791.6089451810806,0.0,0.003748,-0.0013050000000000002,0.005053
135,"[0.003748, 0.0014620000000000002, -0.0013050000000000002, 0.019616]","[0.019616, 0.003748, 0.0014620000000000002, -0.0013050000000000002]","[-0.0013050000000000002, 0.0014620000000000002, 0.003748, 0.019616]",191.19544954830073,191.19544954830073,191.19544954830073,191.19544954830073,0.0,0.019616,-0.0013050000000000002,0.020921000000000002
136,"[0.0014620000000000002, -0.0013050000000000002, 0.019616, 0.013685000000000001]","[0.019616, 0.013685000000000001, 0.0014620000000000002, -0.0013050000000000002]","[-0.0013050000000000002, 0.0014620000000000002, 0.013685000000000001, 0.019616]",191.19544954830073,191.19544954830073,191.19544954830073,191.19544954830073,0.0,0.019616,-0.0013050000000000002,0.020921000000000002
137,"[-0.0013050000000000002, 0.019616, 0.013685000000000001, 0.006614]","[0.019616, 0.013685000000000001, 0.006614, -0.0013050000000000002]","[-0.0013050000000000002, 0.006614, 0.013685000000000001, 0.019616]",191.19544954830073,191.19544954830073,191.19544954830073,191.19544954830073,0.0,0.019616,-0.0013050000000000002,0.020921000000000002
138,"[0.019616, 0.013685000000000001, 0.006614, 0.00024400000000000002]","[0.019616, 0.013685000000000001, 0.006614, 0.00024400000000000002]","[0.00024400000000000002, 0.006614, 0.013685000000000001, 0.019616]",206.48358455502787,206.48358455502787,206.48358455502787,206.48358455502787,0.0,0.019616,0.00024400000000000002,0.019372
139,"[0.013685000000000001, 0.006614, 0.00024400000000000002, 0.0013930000000000001]","[0.013685000000000001, 0.006614, 0.0013930000000000001, 0.00024400000000000002]","[0.00024400000000000002, 0.0013930000000000001, 0.006614, 0.013685000000000001]",297.59690499218806,297.59690499218806,297.59690499218806,297.59690499218806,0.0,0.013685000000000001,0.00024400000000000002,0.013441000000000002
140,"[0.006614, 0.00024400000000000002, 0.0013930000000000001, 0.004468000000000001]","[0.006614, 0.004468000000000001, 0.0013930000000000001, 0.00024400000000000002]","[0.00024400000000000002, 0.0013930000000000001, 0.004468000000000001, 0.006614]",627.9434850863422,627.9434850863422,627.9434850863422,627.9434850863422,0.0,0.006614,0.00024400000000000002,0.00637
141,"[0.00024400000000000002, 0.0013930000000000001, 0.004468000000000001, 0.011418000000000001]","[0.011418000000000001, 0.004468000000000001, 0.0013930000000000001, 0.00024400000000000002]","[0.00024400000000000002, 0.0013930000000000001, 0.004468000000000001, 0.011418000000000001]",357.97386790764267,357.97386790764267,357.97386790764267,357.97386790764267,0.0,0.011418000000000001,0.00024400000000000002,0.011174000000000002
142,"[0.0013930000000000001, 0.004468000000000001, 0.011418000000000001, 0.011686]","[0.011686, 0.011418000000000001, 0.004468000000000001, 0.0013930000000000001]","[0.0013930000000000001, 0.004468000000000001, 0.011418000000000001, 0.011686]",388.6136209074128,388.6136209074128,388.6136209074128,388.6136209074128,0.0,0.011686,0.0013930000000000001,0.010293
143,"[0.004468000000000001, 0.011418000000000001, 0.011686, 0.033067]","[0.033067, 0.011686, 0.011418000000000001, 0.004468000000000001]","[0.004468000000000001, 0.011418000000000001, 0.011686, 0.033067]",139.8650302458128,139.8650302458128,139.8650302458128,139.8650302458128,0.0,0.033067,0.004468000000000001,0.028599
144,"[0.011418000000000001, 0.011686, 0.033067, -0.002958]","[0.033067, 0.011686, 0.011418000000000001, -0.002958]","[-0.002958, 0.011418000000000001, 0.011686, 0.033067]",111.03400416377515,111.03400416377515,111.03400416377515,111.03400416377515,0.0,0.033067,-0.002958,0.036025
145,"[0.011686, 0.033067, -0.002958, 0.8958]","[0.8958, 0.033067, 0.011686, -0.002958]","[-0.002958, 0.011686, 0.033067, 0.8958]",4.450586253474238,4.450586253474238,4.450586253474238,4.450586253474238,0.0,0.8958,-0.002958,0.8987580000000001
146,"[0.033067, -0.002958, 0.8958, 0.013468]","[0.8958, 0.033067, 0.013468, -0.002958]","[-0.002958, 0.013468, 0.033067, 0.8958]",4.450586253474238,4.450586253474238,4.450586253474238,4.450586253474238,0.0,0.8958,-0.002958,0.8987580000000001
147,"[-0.002958, 0.8958, 0.013468, 0.013612]","[0.8958, 0.013612, 0.013468, -0.002958]","[-0.002958, 0.013468, 0.013612, 0.8958]",4.450586253474238,4.450586253474238,4.450586253474238,4.450586253474238,0.0,0.8958,-0.002958,0.8987580000000001
148,"[0.8958, 0.013468, 0.013612, 0.012441]","[0.8958, 0.013612, 0.013468, 0.012441]","[0.012441, 0.013468, 0.013612, 0.8958]",4.528170313541833,4.528170313541833,4.528170313541833,4.528170313541833,0.0,0.8958,0.012441,0.883359
149,"[0.013468, 0.013612, 0.012441, 0.993102]","[0.993102, 0.013612, 0.013468, 0.012441]","[0.012441, 0.013468, 0.013612, 0.993102]",4.078881489118054,4.078881489118054,4.078881489118054,4.078881489118054,0.0,0.993102,0.012441,0.980661
150,"[0.013612, 0.012441, 0.993102, 0.015235]","[0.993102, 0.015235, 0.013612, 0.012441]","[0.012441, 0.013612, 0.015235, 0.993102]",4.078881489118054,4.078881489118054,4.078881489118054,4.078881489118054,0.0,0.993102,0.012441,0.980661
151,"[0.012441, 0.993102, 0.015235, 0.012888]","[0.993102, 0.015235, 0.012888, 0.012441]","[0.012441, 0.012888, 0.015235, 0.993102]",4.078881489118054,4.078881489118054,4.078881489118054,4.078881489118054,0.0,0.993102,0.012441,0.980661
152,"[0.993102, 0.015235, 0.012888, 0.012287000000000001]","[0.993102, 0.015235, 0.012888, 0.012287000000000001]","[0.012287000000000001, 0.012888, 0.015235, 0.993102]",4.0782410546331365,4.0782410546331365,4.0782410546331365,4.0782410546331365,0.0,0.993102,0.012287000000000001,0.980815
153,"[0.015235, 0.012888, 0.012287000000000001, 1.7036470000000001]","[1.7036470000000001, 0.015235, 0.012888, 0.012287000000000001]","[0.012287000000000001, 0.012888, 0.015235, 1.7036470000000001]",1.7737205562387661,2.3649607416516885,2.3649607416516885,2.3649607416516885,0.0,1.7036470000000001,0.012287000000000001,1.6913600000000002
154,"[0.012888, 0.012287000000000001, 1.7036470000000001, 1.9792120000000002]","[1.9792120000000002, 1.7036470000000001, 0.012888, 0.012287000000000001]","[0.012287000000000001, 0.012888, 1.7036470000000001, 1.9792120000000002]",1.0168155877829606,2.033631175565921,2.033631175565921,2.033631175565921,0.0,1.9792120000000002,0.012287000000000001,1.9669250000000003
155,"[0.012287000000000001, 1.7036470000000001, 1.9792120000000002, 1.0168970000000002]","[1.9792120000000002, 1.7036470000000001, 1.0168970000000002, 0.012287000000000001]","[0.012287000000000001, 1.0168970000000002, 1.7036470000000001, 1.9792120000000002]",0.5084077938914803,2.033631175565921,2.033631175565921,2.033631175565921,0.0,1.9792120000000002,0.012287000000000001,1.9669250000000003
156,"[1.7036470000000001, 1.9792120000000002, 1.0168970000000002, 0.0018460000000000002]","[1.9792120000000002, 1.7036470000000001, 1.0168970000000002, 0.0018460000000000002]","[0.0018460000000000002, 1.0168970000000002, 1.7036470000000001, 1.9792120000000002]",0.5057232702494125,2.02289308099765,2.02289308099765,2.02289308099765,0.0,1.9792120000000002,0.0018460000000000002,1.9773660000000002
157,"[1.9792120000000002, 1.0168970000000002, 0.0018460000000000002, 0.136376]","[1.9792120000000002, 1.0168970000000002, 0.136376, 0.0018460000000000002]","[0.0018460000000000002, 0.136376, 1.0168970000000002, 1.9792120000000002]",1.011446540498825,2.02289308099765,2.02289308099765,2.02289308099765,0.0,1.9792120000000002,0.0018460000000000002,1.9773660000000002
158,"[1.0168970000000002, 0.0018460000000000002, 0.136376, 0.15401600000000001]","[1.0168970000000002, 0.15401600000000001, 0.136376, 0.0018460000000000002]","[0.0018460000000000002, 0.136376, 0.15401600000000001, 1.0168970000000002]",2.955516520844765,3.940688694459687,3.940688694459687,3.940688694459687,0.0,1.0168970000000002,0.0018460000000000002,1.0150510000000001
159,"[0.0018460000000000002, 0.136376, 0.15401600000000001, -0.029237000000000003]","[0.15401600000000001, 0.136376, 0.0018460000000000002, -0.029237000000000003]","[-0.029237000000000003, 0.0018460000000000002, 0.136376, 0.15401600000000001]",21.827746339759784,21.827746339759784,21.827746339759784,21.827746339759784,0.0,0.15401600000000001,-0.029237000000000003,0.18325300000000003
160,"[0.136376, 0.15401600000000001, -0.029237000000000003, 0.16878400000000002]","[0.16878400000000002, 0.15401600000000001, 0.136376, -0.029237000000000003]","[-0.029237000000000003, 0.136376, 0.15401600000000001, 0.16878400000000002]",20.199877790739365,20.199877790739365,20.199877790739365,20.199877790739365,0.0,0.16878400000000002,-0.029237000000000003,0.19802100000000003
161,"[0.15401600000000001, -0.029237000000000003, 0.16878400000000002, 0.018429]","[0.16878400000000002, 0.15401600000000001, 0.018429, -0.029237000000000003]","[-0.029237000000000003, 0.018429, 0.15401600000000001, 0.16878400000000002]",20.199877790739365,20.199877790739365,20.199877790739365,20.199877790739365,0.0,0.16878400000000002,-0.029237000000000003,0.19802100000000003
162,"[-0.029237000000000003, 0.16878400000000002, 0.018429, 0.43408800000000003]","[0.43408800000000003, 0.16878400000000002, 0.018429, -0.029237000000000003]","[-0.029237000000000003, 0.018429, 0.16878400000000002, 0.43408800000000003]",8.633248799438839,8.633248799438839,8.633248799438839,8.633248799438839,0.0,0.43408800000000003,-0.029237000000000003,0.46332500000000004
163,"[0.16878400000000002, 0.018429, 0.43408800000000003, 0.066543]","[0.43408800000000003, 0.16878400000000002, 0.066543, 0.018429]","[0.018429, 0.066543, 0.16878400000000002, 0.43408800000000003]",9.623272923237558,9.623272923237558,9.623272923237558,9.623272923237558,0.0,0.43408800000000003,0.018429,0.415659
164,"[0.018429, 0.43408800000000003, 0.066543, 0.008863000000000001]","[0.43408800000000003, 0.066543, 0.018429, 0.008863000000000001]","[0.008863000000000001, 0.018429, 0.066543, 0.43408800000000003]",9.40678464342407,9.40678464342407,9.40678464342407,9.40678464342407,0.0,0.43408800000000003,0.008863000000000001,0.425225
165,"[0.43408800000000003, 0.066543, 0.008863000000000001, -0.0008100000000000001]","[0.43408800000000003, 0.066543, 0.008863000000000001, -0.0008100000000000001]","[-0.0008100000000000001, 0.008863000000000001, 0.066543, 0.43408800000000003]",9.197558967849933,9.197558967849933,9.197558967849933,9.197558967849933,0.0,0.43408800000000003,-0.0008100000000000001,0.434898
166,"[0.066543, 0.008863000000000001, -0.0008100000000000001, 0.402341]","[0.402341, 0.066543, 0.008863000000000001, -0.0008100000000000001]","[-0.0008100000000000001, 0.008863000000000001, 0.066543, 0.402341]",9.921840699886644,9.921840699886644,9.921840699886644,9.921840699886644,0.0,0.402341,-0.0008100000000000001,0.403151
167,"[0.008863000000000001, -0.0008100000000000001, 0.402341, -0.004541]","[0.402341, 0.008863000000000001, -0.0008100000000000001, -0.004541]","[-0.004541, -0.0008100000000000001, 0.008863000000000001, 0.402341]",9.830860052791717,9.830860052791717,9.830860052791717,9.830860052791717,0.0,0.402341,-0.004541,0.406882
168,"[-0.0008100000000000001, 0.402341, -0.004541, 0.029491000000000003]","[0.402341, 0.029491000000000003, -0.0008100000000000001, -0.004541]","[-0.004541, -0.0008100000000000001, 0.029491000000000003, 0.402341]",9.830860052791717,9.830860052791717,9.830860052791717,9.830860052791717,0.0,0.402341,-0.004541,0.406882
169,"[0.402341, -0.004541, 0.029491000000000003, 0.016912]","[0.402341, 0.029491000000000003, 0.016912, -0.004541]","[-0.004541, 0.016912, 0.029491000000000003, 0.402341]",9.830860052791717,9.830860052791717,9.830860052791717,9.830860052791717,0.0,0.402341,-0.004541,0.406882
