,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
50,"[1291.0, 5725.0, 64.0, 92.0]","[5725.0, 1291.0, 92.0, 64.0]","[64.0, 92.0, 1291.0, 5725.0]",0.0,0.0,0.0,0.0,0.0003532944709415298,5725.0,64.0,5661.0
51,"[5725.0, 64.0, 92.0, 2799.0]","[5725.0, 2799.0, 92.0, 64.0]","[64.0, 92.0, 2799.0, 5725.0]",0.0,0.0,0.0,0.0,0.0003532944709415298,5725.0,64.0,5661.0
52,"[64.0, 92.0, 2799.0, 2866.0]","[2866.0, 2799.0, 92.0, 64.0]","[64.0, 92.0, 2799.0, 2866.0]",0.0,0.0,0.0,0.0,0.0007137758743754461,2866.0,64.0,2802.0
53,"[92.0, 2799.0, 2866.0, 52350.0]","[52350.0, 2866.0, 2799.0, 92.0]","[92.0, 2799.0, 2866.0, 52350.0]",0.0,0.0,0.0,0.0,5.740747828083738e-05,52350.0,92.0,52258.0
54,"[2799.0, 2866.0, 52350.0, 107.0]","[52350.0, 2866.0, 2799.0, 107.0]","[107.0, 2799.0, 2866.0, 52350.0]",0.0,0.0,0.0,0.0,7.656528147311601e-05,52350.0,107.0,52243.0
55,"[2866.0, 52350.0, 107.0, 8457.0]","[52350.0, 8457.0, 2866.0, 107.0]","[107.0, 2866.0, 8457.0, 52350.0]",0.0,0.0,0.0,0.0,7.656528147311601e-05,52350.0,107.0,52243.0
56,"[52350.0, 107.0, 8457.0, 3505.0]","[52350.0, 8457.0, 3505.0, 107.0]","[107.0, 3505.0, 8457.0, 52350.0]",0.0,0.0,0.0,0.0,7.656528147311601e-05,52350.0,107.0,52243.0
57,"[107.0, 8457.0, 3505.0, 445.0]","[8457.0, 3505.0, 445.0, 107.0]","[107.0, 445.0, 3505.0, 8457.0]",0.0,0.0,0.0,0.0,0.00047904191616766467,8457.0,107.0,8350.0
58,"[8457.0, 3505.0, 445.0, 1133.0]","[8457.0, 3505.0, 1133.0, 445.0]","[445.0, 1133.0, 3505.0, 8457.0]",0.0,0.0,0.0,0.0,0.0004992511233150275,8457.0,445.0,8012.0
59,"[3505.0, 445.0, 1133.0, 1680.0]","[3505.0, 1680.0, 1133.0, 445.0]","[445.0, 1133.0, 1680.0, 3505.0]",0.0,0.0,0.0,0.0,0.00130718954248366,3505.0,445.0,3060.0
60,"[445.0, 1133.0, 1680.0, 9290.0]","[9290.0, 1680.0, 1133.0, 445.0]","[445.0, 1133.0, 1680.0, 9290.0]",0.0,0.0,0.0,0.0,0.0004522328999434709,9290.0,445.0,8845.0
